1,3.7715,0.1310,3.7879,0.1300
2,3.6550,0.1460,3.6528,0.1503
3,3.3002,0.2057,3.3389,0.2039
4,3.0971,0.2457,3.1387,0.2425
5,3.0052,0.2675,3.0636,0.2634
6,2.9569,0.2929,3.0676,0.2813
7,2.6742,0.3343,2.7641,0.3141
8,2.4489,0.3797,2.5651,0.3613
9,2.3309,0.4057,2.4609,0.3798
10,2.4336,0.3867,2.5867,0.3590
11,2.1534,0.4456,2.3369,0.4128
12,2.4780,0.3882,2.6670,0.3591
13,2.2588,0.4409,2.5032,0.4000
14,2.3404,0.4197,2.5888,0.3829
15,1.9334,0.4977,2.1822,0.4521
16,2.0261,0.4896,2.3122,0.4363
17,1.7526,0.5409,2.0603,0.4825
18,1.9392,0.4974,2.2925,0.4427
19,1.6088,0.5692,1.9516,0.5073
20,1.6037,0.5737,1.9819,0.5068
21,1.4806,0.6027,1.8772,0.5259
22,1.4367,0.6118,1.8339,0.5302
23,1.3682,0.6274,1.7904,0.5433
24,1.3735,0.6285,1.8444,0.5428
25,1.3499,0.6375,1.8860,0.5384
26,1.3957,0.6253,1.8806,0.5374
27,1.2052,0.6722,1.7156,0.5739
28,1.2804,0.6501,1.8286,0.5387
29,1.1312,0.6903,1.7376,0.5729
30,1.1472,0.6811,1.7648,0.5586
31,1.1032,0.6944,1.7593,0.5662
32,1.1032,0.6971,1.7426,0.5676
33,1.0178,0.7196,1.6513,0.5801
34,1.0937,0.7012,1.8385,0.5674
35,0.9864,0.7261,1.7176,0.5764
36,1.1058,0.6956,1.8900,0.5576
37,0.9026,0.7500,1.6991,0.5922
38,0.8577,0.7627,1.6393,0.6012
39,0.8549,0.7638,1.6411,0.5931
40,0.9182,0.7431,1.7155,0.5809
41,0.8904,0.7536,1.7748,0.5813
42,0.8237,0.7708,1.7119,0.5963
43,0.7932,0.7807,1.7040,0.5933
44,0.7933,0.7769,1.6871,0.5976
45,0.7334,0.7954,1.6561,0.6021
46,0.7628,0.7869,1.7003,0.5990
47,0.7689,0.7865,1.7615,0.5938
48,0.7070,0.8031,1.6900,0.6043
49,0.7370,0.7978,1.7764,0.5941
50,0.6790,0.8145,1.6995,0.6027
51,0.6518,0.8211,1.7395,0.6022
52,0.6566,0.8170,1.6650,0.6091
53,0.6700,0.8119,1.7429,0.6025
54,0.6514,0.8205,1.6500,0.6135
55,0.6325,0.8256,1.7680,0.6071
56,0.6668,0.8141,1.7799,0.6043
57,0.6141,0.8307,1.7762,0.6000
58,0.5898,0.8360,1.7246,0.6173
59,0.5947,0.8340,1.7754,0.6073
60,0.5512,0.8483,1.7097,0.6141
61,0.5604,0.8469,1.7213,0.6127
62,0.5672,0.8442,1.7365,0.6146
63,0.5565,0.8454,1.7698,0.6129
64,0.5239,0.8571,1.7604,0.6123
65,0.5358,0.8503,1.7500,0.6165
66,0.5278,0.8553,1.8023,0.6139
67,0.5442,0.8468,1.7912,0.6081
68,0.4887,0.8655,1.7226,0.6184
69,0.5117,0.8580,1.7992,0.6088
70,0.5338,0.8519,1.8588,0.6071
71,0.4758,0.8697,1.7189,0.6236
72,0.4677,0.8731,1.7427,0.6221
73,0.4801,0.8667,1.7531,0.6197
74,0.4843,0.8654,1.8376,0.6098
75,0.4372,0.8809,1.7341,0.6292
76,0.4836,0.8673,1.7673,0.6123
77,0.4799,0.8686,1.8055,0.6144
78,0.4936,0.8632,1.8423,0.6123
79,0.4528,0.8750,1.7027,0.6219
80,0.4458,0.8768,1.7821,0.6255
81,0.4839,0.8664,1.8546,0.6047
82,0.4182,0.8830,1.8010,0.6249
83,0.4190,0.8851,1.7619,0.6244
84,0.4371,0.8809,1.7143,0.6296
85,0.4242,0.8840,1.8760,0.6191
86,0.4392,0.8793,1.7737,0.6214
87,0.4122,0.8871,1.8361,0.6222
88,0.4357,0.8786,1.8240,0.6220
89,0.4563,0.8746,1.8825,0.6133
90,0.4060,0.8889,1.8038,0.6202
91,0.4379,0.8804,1.8119,0.6224
92,0.3949,0.8909,1.7434,0.6282
93,0.4470,0.8753,1.9353,0.6125
94,0.4000,0.8913,1.8727,0.6236
95,0.3897,0.8937,1.8881,0.6232
96,0.3769,0.8947,1.8531,0.6228
97,0.3793,0.8968,1.8614,0.6270
98,0.3777,0.8965,1.8012,0.6261
99,0.3564,0.9034,1.8255,0.6269
100,0.3826,0.8954,1.8746,0.6242
101,0.3967,0.8903,1.8370,0.6236
102,0.3581,0.9032,1.8651,0.6325
103,0.3684,0.8990,1.8712,0.6181
104,0.3839,0.8944,1.9178,0.6245
105,0.3649,0.9020,1.8831,0.6298
106,0.3785,0.8960,1.8409,0.6226
107,0.3878,0.8944,1.9653,0.6196
108,0.4091,0.8875,1.9130,0.6196
109,0.3608,0.9002,1.8817,0.6226
110,0.3589,0.9019,1.8810,0.6241
111,0.3460,0.9061,1.8413,0.6302
112,0.3433,0.9059,1.7502,0.6349
113,0.3346,0.9073,1.8298,0.6295
114,0.3286,0.9112,1.8157,0.6362
115,0.3404,0.9076,1.8225,0.6242
116,0.3391,0.9081,1.9251,0.6287
117,0.3598,0.9015,1.9255,0.6268
118,0.3566,0.9013,1.8847,0.6287
119,0.3371,0.9085,1.8904,0.6203
120,0.3499,0.9048,1.9290,0.6197
121,0.3197,0.9133,1.8477,0.6264
122,0.3220,0.9111,1.8045,0.6329
123,0.3239,0.9118,1.8817,0.6318
124,0.3086,0.9160,1.7958,0.6387
125,0.3200,0.9114,1.8388,0.6263
126,0.3269,0.9097,1.8706,0.6245
127,0.3054,0.9162,1.8425,0.6369
128,0.3027,0.9169,1.8747,0.6300
